"QSI_TOWER","STRUCTURE","X","Y","Z1","Z2","H","LATITUDE","LONGITUDE","STR_GEOTAG","STR_TYPE"
"189","018/130","6526947.185","1837092.754","4.38","93.44","89.06","38.20662598","-122.12082136","W12212082N3820662","Tangent"
"190","018/131","6526443.565","1836457.782","8.674","113.55","104.88","38.20488059","-122.12257094","W12212257N3820488","Tangent"
"191","019/132","6525990.567","1835886.028","8.889","95.73","86.84","38.20330894","-122.12414458","W12212414N3820330","Tangent"
"192","019/133","6525542.522","1835322.045","8.117","95.54","87.42","38.20175864","-122.12570096","W12212570N3820175","Tangent"
"193","019/134","6525048.57","1834699.301","7.587","95.44","87.85","38.20004679","-122.12741672","W12212741N3820004","Dead End"
"194","019/135","6524537.363","1834170.771","6.792","95.08","88.29","38.19859354","-122.12919291","W12212919N3819859","Tangent"
"195","019/136","6524050.75","1833667.77","14.141","102.13","87.99","38.19721046","-122.13088357","W12213088N3819721","Tangent"
"196","019/137","6523529.017","1833128.814","20.281","108.37","88.09","38.19572849","-122.13269619","W12213269N3819572","Tangent"
"197","020/138","6523007.566","1832589.77","24.625","112.59","87.97","38.19424625","-122.13450775","W12213450N3819424","Tangent"
"198","020/139","6522503.474","1832068.565","29.242","117.06","87.82","38.19281304","-122.13625893","W12213625N3819281","Tangent"
"199","020/140","6522207.886","1831763.569","32.417","145.54","113.12","38.19197435","-122.13728575","W12213728N3819197","Tangent"
"200","020/141","6521770.22","1831310.763","32.805","120.06","87.25","38.19072918","-122.13880607","W12213880N3819072","Dead End"
"201","020/142","6521409.298","1830630.337","33.671","121.03","87.36","38.18885932","-122.14005813","W12214005N3818885","Tangent"
"202","020/143","6521046.253","1829945.075","34.978","122.08","87.1","38.18697615","-122.14131748","W12214131N3818697","Tangent"
"203","020/144","6520683.309","1829260.975","43.574","131.53","87.96","38.18509616","-122.14257642","W12214257N3818509","Tangent"
"204","020/145","6520237.796","1828422.704","133.04","222.28","89.24","38.18279247","-122.14412168","W12214412N3818279","Dead End"
"205","021/146","6519898.795","1827783.455","129.81","218.21","88.4","38.1810357","-122.14529743","W12214529N3818103","Tangent"
"206","021/147","6519556.083","1827136.354","196.756","294.19","97.43","38.17925735","-122.14648599","W12214648N3817925","Tangent"
"207","021/148","6519208.172","1826480.142","248.414","351.64","103.23","38.17745395","-122.14769252","W12214769N3817745","Tangent"
"208","021/149","6518950.44","1825994.457","354.986","445.18","90.19","38.17611918","-122.14858628","W12214858N3817611","Tangent"
"209","021/150","6518647.078","1825420.952","481.977","570.08","88.1","38.17454306","-122.14963822","W12214963N3817454","Tangent"
"210","021/151","6518506.174","1825156.425","523.236","611.2","87.96","38.17381607","-122.15012682","W12215012N3817381","Tangent"
"211","021/152","6518004.585","1824210.286","589.31","677.43","88.12","38.17121583","-122.15186601","W12215186N3817121","Dead End"
"212","021/153","6517583.154","1823415.783","646.784","738.42","91.64","38.16903231","-122.15332717","W12215332N3816903","Dead End"
"213","022/154","6516945.11","1822211.829","608.929","699.47","90.54","38.16572347","-122.15553919","W12215553N3816572","Dead End"
"214","022/155","6516328.57","1821049.265","784.025","872.87","88.84","38.16252833","-122.15767646","W12215767N3816252","Tangent"
"215","022/156","6515860.651","1820166.928","726.386","816.1","89.71","38.16010334","-122.15929841","W12215929N3816010","Dead End"
"216","022/157","6515165.913","1818856.804","821.821","911.15","89.33","38.15650258","-122.16170637","W12216170N3815650","Tangent"
"217","022/158","6514392.19","1817396.767","821.849","912.04","90.19","38.15248974","-122.16438779","W12216438N3815248","Tangent"
"218","023/159","6513700.945","1816093.371","757.551","844.99","87.44","38.14890737","-122.16678314","W12216678N3814890","Tangent"
"219","023/160","6513199.883","1815147.562","635.098","724.08","88.98","38.1463078","-122.1685193","W12216851N3814630","Tangent"
"220","023/161","6513012.594","1814795.286","577.495","667.0","89.5","38.14533955","-122.16916822","W12216916N3814533","Tangent"
"221","023/162","6512760.616","1814320.027","459.111","548.19","89.08","38.14403328","-122.17004124","W12217004N3814403","Dead End"
"222","023/163","6511839.029","1812581.802","482.291","572.47","90.18","38.13925562","-122.17323398","W12217323N3813925","Tangent"
"223","023/164","6511590.738","1812113.688","504.17","594.62","90.45","38.13796896","-122.17409408","W12217409N3813796","Tangent"
"224","024/165","6510930.625","1810868.561","550.134","641.44","91.31","38.13454656","-122.17638063","W12217638N3813454","Tangent"
"225","024/166","6510684.954","1810405.64","627.955","715.85","87.89","38.13327414","-122.17723155","W12217723N3813327","Tangent"
"226","024/167","6510403.678","1809874.988","697.573","790.81","93.24","38.13181555","-122.17820575","W12217820N3813181","Tangent"
"227","024/168","6510159.619","1809411.785","654.571","749.2","94.63","38.13054236","-122.17905099","W12217905N3813054","Tangent"
"228","024/169","6509736.747","1808617.265","488.155","576.7","88.55","38.12835844","-122.18051551","W12218051N3812835","Dead End"
"229","024/170","6509150.818","1807511.422","569.719","671.16","101.44","38.12531877","-122.18254456","W12218254N3812531","Tangent"
"230","024/171","6509043.531","1807308.459","558.888","660.89","102.0","38.12476088","-122.18291606","W12218291N3812476","Dead End"
"231","024/172","6508542.506","1806366.108","441.734","532.64","90.91","38.12217057","-122.18465095","W12218465N3812217","Tangent"
"232","025/173","6508168.812","1805659.715","392.42","480.08","87.66","38.12022884","-122.18594482","W12218594N3812022","Dead End"
